Postcode,Latitude,Longitude
AB1 1TR,57.14357,-2.110269
AB1 1TS,57.143219,-2.111524
AB1 1TT,57.143083,-2.112366
AB1 1TU,57.143048,-2.112019
AB1 1TW,57.143677,-2.111195
AB1 1TX,57.143641,-2.111161
AB1 1TY,57.145283,-2.113315
AB1 1TZ,57.145382,-2.113662
AB1 1UA,57.143687,-2.110765
AB1 1UB,57.144602,-2.111957
AB1 1UD,57.144522,-2.111445
AB1 1UE,57.145976,-2.112524
AB1 1UF,57.145616,-2.123099
AB1 1UG,57.14488,-2.112421
AB1 1UH,57.146029,-2.113152
AB1 1UJ,57.14514,-2.113017
AB1 1UL,57.143583,-2.126017
AB1 1UN,57.143801,-2.122713
AB1 1UP,57.14407,-2.123672
AB1 1UQ,57.144584,-2.121278
AB1 1UR,57.145081,-2.118767
AB1 1US,57.144605,-2.118303
AB1 1UT,57.145604,-2.116489
AB1 1UU,57.144376,-2.113758
AB1 1UW,57.144556,-2.113164
AB1 1UX,57.145219,-2.114636
AB1 1UY,57.143883,-2.112187
AB1 1UZ,57.143613,-2.112384
AB1 1WA,57.143687,-2.110765
AB1 1XA,57.144564,-2.114585
AB1 1XB,57.14355,-2.113309
AB1 1XD,57.144108,-2.112286
AB1 1XE,57.143519,-2.117374
AB1 1XF,57.143753,-2.117144
AB1 1XG,57.144168,-2.114848
AB1 1XH,57.143756,-2.114103
AB1 1XJ,57.144226,-2.110767
AB1 1XL,57.14357,-2.120531
AB1 1XN,57.14353,-2.114945
AB1 1XP,57.143915,-2.116252
AB1 1XQ,57.14466,-2.116981
AB1 1XR,57.145558,-2.11781
AB1 1XS,57.146545,-2.118475
AB1 1XT,57.146456,-2.117979
AB1 1XU,57.145917,-2.117481
AB1 1XW,57.144202,-2.117294
AB1 1XX,57.144661,-2.116486
AB1 1XY,57.144093,-2.118913
AB1 1YA,57.143991,-2.121788
AB1 1YB,57.142733,-2.1122
AB1 1YD,57.14302,-2.113093
AB1 1YE,57.14257,-2.114496
AB1 1YG,57.142866,-2.114398
AB1 1YH,57.143163,-2.114316
AB1 1YJ,57.142637,-2.119007
AB1 1YL,57.142689,-2.120908
AB1 1YN,57.142757,-2.124841
AB1 1YP,57.143316,-2.122876
AB1 1YT,57.142647,-2.118545
AB1 1YU,57.145799,-2.109482
AB1 1YW,57.145799,-2.109482
AB1 2AA,57.1459,-2.095221
AB1 2AB,57.146765,-2.091852
AB1 2AD,57.147456,-2.092762
AB1 2AE,57.146342,-2.093437
AB1 2AF,57.146504,-2.092925
AB1 2AG,57.146567,-2.092694
AB1 2AH,57.146423,-2.092429
AB1 2AJ,57.147411,-2.093142
AB1 2AL,57.146801,-2.092315
AB1 2AN,57.147556,-2.091705
AB1 2AP,57.146874,-2.090067
AB1 2AQ,57.146632,-2.089604
AB1 2AR,57.146759,-2.08848
AB1 2AS,57.146598,-2.086629
AB1 2AT,57.14718,-2.089142
AB1 2AU,57.147314,-2.090713
AB1 2AW,57.146657,-2.092397
AB1 2AX,57.147727,-2.091391
AB1 2AY,57.147504,-2.089011
AB1 2AZ,57.14715,-2.093852
AB1 2BA,57.144878,-2.104224
AB1 2BB,57.145122,-2.10287
AB1 2BD,57.146428,-2.098379
AB1 2BE,57.146569,-2.090529
AB1 2BF,57.146757,-2.091439
AB1 2BG,57.145662,-2.101252
AB1 2BH,57.146112,-2.099683
AB1 2BJ,57.146995,-2.096546
AB1 2BL,57.146699,-2.095735
AB1 2BN,57.14723,-2.095654
AB1 2BP,57.147365,-2.095142
AB1 2BQ,57.144536,-2.105182
AB1 2BR,57.14432,-2.105727
AB1 2BS,57.143861,-2.107113
AB1 2BT,57.143734,-2.107592
AB1 2BU,57.147536,-2.094647
AB1 2BW,57.147419,-2.094712
AB1 2BX,57.143554,-2.108286
AB1 2BY,57.14732,-2.094944
AB1 2BZ,57.14608,-2.095734
AB1 2DA,57.143311,-2.109574
AB1 2DB,57.143031,-2.110647
AB1 2DD,57.143737,-2.104205
AB1 2DE,57.141688,-2.105868
AB1 2DF,57.142047,-2.105654
AB1 2DG,57.142604,-2.105904
AB1 2DH,57.142064,-2.106745
AB1 2DJ,57.142693,-2.106515
AB1 2DL,57.142719,-2.107771
AB1 2DN,57.141984,-2.106513
AB1 2DP,57.143329,-2.10888
AB1 2DQ,57.144716,-2.104389
AB1 2DR,57.144357,-2.104587
AB1 2DS,57.14275,-2.103524
AB1 2DT,57.144257,-2.105875
AB1 2DU,57.142279,-2.108282
AB1 2DW,57.142674,-2.107903
AB1 2DX,57.141472,-2.10552
AB1 2DY,57.143477,-2.103378
AB1 2DZ,57.143352,-2.102716
AB1 2EA,57.143655,-2.105659
AB1 2EB,57.14282,-2.105128
AB1 2ED,57.142111,-2.104696
AB1 2EE,57.142606,-2.102979
AB1 2EF,57.141852,-2.102531
AB1 2EG,57.141923,-2.103539
AB1 2EH,57.14133,-2.104214
AB1 2EJ,57.141087,-2.104462
AB1 2EL,57.142559,-2.105457
AB1 2EN,57.143069,-2.108202
AB1 2EP,57.142393,-2.111339
AB1 2EQ,57.141971,-2.110528
AB1 2ER,57.140892,-2.11226
AB1 2ES,57.140823,-2.108393
AB1 2ET,57.143469,-2.102452
AB1 2EU,57.143019,-2.104137
AB1 2EW,57.142444,-2.104118
AB1 2EX,57.143658,-2.102089
AB1 2EY,57.143593,-2.104584
AB1 2EZ,57.14318,-2.10417
AB1 2FA,57.144997,-2.101432
AB1 2FB,57.147289,-2.08873
AB1 2FD,57.143418,-2.099593
AB1 2FF,57.142086,-2.102498
AB1 2FG,57.142965,-2.104351
AB1 2FH,57.142426,-2.104416
AB1 2FJ,57.141057,-2.108559
AB1 2FL,57.139539,-2.108274
AB1 2FN,57.141064,-2.110047
AB1 2FP,57.141028,-2.111038
AB1 2FR,57.140775,-2.111995
AB1 2HA,57.144547,-2.103017
AB1 2HB,57.144654,-2.10386
AB1 2HD,57.143713,-2.100834
AB1 2HE,57.144045,-2.101529
AB1 2HF,57.144054,-2.10171
AB1 2HG,57.143353,-2.101246
AB1 2HH,57.143137,-2.101741
AB1 2HJ,57.142661,-2.101971
AB1 2HL,57.142752,-2.100831
